194.0,-4,14,11.07048695284609,1
196.0,-3,26,16.671257851514014,1
195.0,-4,30,28.860188879488785,2
187.0,-7,5,18.561448704673122,1
193.0,-6,28,33.258773136653176,2
185.0,-8,5,16.344730722348768,1
184.0,-8,3,33.85779862701962,2
191.0,-7,38,27.705378152870235,1
186.0,-8,44,21.74350602227515,1
181.0,-9,34,11.549526639595303,1
182.0,-9,44,20.113237532732505,1
179.0,-10,22,44.08469178731298,2
174.0,-11,26,52.253813410630485,2
171.0,-13,35,19.17044821547677,1
168.0,-15,22,38.84073660653151,2
167.0,-16,3,39.89098885620804,2
163.0,-19,11,11.151692028888668,1
157.0,-23,8,13.105366263774156,1
153.0,-26,11,50.716493187526005,2
152.0,-26,5,41.860319035952756,2
146.0,-28,13,31.27804579094527,2
166.0,-17,39,40.813500786985884,2
165.0,-18,38,16.092849227813208,1
164.0,-18,37,40.698921535712884,2
158.0,-23,40,33.44073952899881,2
156.0,-24,47,16.759684710356414,1
154.0,-25,31,53.6711773896526,2
143.0,-29,38,9.302865257843353,1
144.0,-29,42,47.29255646529602,2
141.0,-30,41,10.834826123357884,1
140.0,-30,33,35.79346246926615,2
137.0,-31,24,24.109579124620467,2
138.0,-31,25,29.86242666693734,2
136.0,-32,36,51.24828892326763,2
134.0,-34,30,12.993840753161143,1
133.0,-35,47,40.94504217363386,2
132.0,-36,23,26.10029041847997,2
130.0,-37,42,38.57999220220831,2
127.0,-38,42,16.164385482198252,1
126.0,-40,42,39.34392582316374,2
125.0,-40,12,44.05324269705338,2
124.0,-40,10,22.73579913103642,1
120.0,-41,4,40.00141029947061,2
121.0,-41,37,50.69824984294876,2
119.0,-42,30,11.115241865027421,1
118.0,-42,20,40.08985537025343,2
117.0,-42,12,18.380587467624085,1
116.0,-42,7,11.164019850662262,1
115.0,-42,5,33.90823798490205,2
114.0,-43,37,29.88694727368487,2
111.0,-44,20,31.84055412993466,2
108.0,-45,33,20.228153525241712,1
107.0,-46,41,15.764651572894609,1
106.0,-46,39,9.186649756352802,1
104.0,-46,28,44.96919262197694,2
103.0,-46,27,27.83961389724629,2
109.0,-44,1,12.51814396838134,1
131.0,-36,1,38.23834473919732,2
176.0,-10,1,34.77365462487099,2
192.0,-6,1,18.80729798340916,1
